,veri,sehir,sira,parti,aday,oy,oran,oy_2019,oran_2019
0,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,1,CHP,ZEYDAN KARALAR,550.531,%46.57,656.704,%53.69
1,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,2,AK PARTI,FATİH MEHMET KOCAİSPİR,442.486,%37.43,0,%0.00
2,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,3,DEM PARTI,MAHFUZ GÜLERYÜZ,66.221,%5.60,0,%0.00
3,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,4,İYI PARTI,AYYÜCE TÜRKEŞ TAŞ,50.373,%4.26,0,%0.00
4,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,5,YENIDEN REFAH,SELAHATTİN BAYSAL,22.090,%1.87,0,%0.00
5,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,6,ZAFER PARTISI,UMUT YANAR,16.728,%1.42,0,%0.00
6,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,7,HÜDA PAR,SALİH DEMİR,6.944,%0.59,0,%0.00
7,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,8,SAADET,HÜSEYİN ACARLAR,6.675,%0.56,23.214,%1.90
8,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,9,DEVA PARTISI,HAMZA MİLLİ,2.489,%0.21,0,%0.00
9,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,10,MEMLEKET,ETHEM EKE,2.304,%0.19,0,%0.00
10,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,11,YTP,EYYUP KEBUDE,2.207,%0.19,0,%0.00
11,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,12,EMEP,SEVİL ARACI,2.012,%0.17,0,%0.00
12,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,13,BTP,MELEK ÇATALBAŞ,1.749,%0.15,3.161,%0.26
13,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,14,TKP,KUBİLAY ALTUNTAŞ,1.602,%0.14,2.529,%0.21
14,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,15,DSP,HAKAN BULDU,1.088,%0.09,6.298,%0.51
15,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,16,VATAN PARTISI,AHMET SUSEVEN,930,%0.08,5.764,%0.47
16,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,17,MILLET,ALİ GEÇİOĞLU,891,%0.08,0,%0.00
17,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,18,AP,KAZIM KÜRŞAD ERDİL,771,%0.07,0,%0.00
18,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,19,AB PARTI,SEZGİN DOĞAN GÜROCAK,743,%0.06,0,%0.00
19,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,20,HAK-PAR,SÜLEYMAN KART,691,%0.06,0,%0.00
20,belediye,ADANA BÜYÜKŞEHİR BELEDİYESİ,21,TKH,SERDAR DOĞAN,633,%0.05,0,%0.00
