,veri,sehir,sira,parti,oy,oran,oy_2019,oran_2019
0,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
1,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
2,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
3,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
4,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
5,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
6,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
7,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
8,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
9,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
10,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
11,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
12,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
13,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
14,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
15,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
16,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
17,meclis,ADANA BÜYÜKŞEHİR BELEDİYESİ,,,,,,
