veri,sehir,secmen,oy,gecerli_oy,sira,parti,alinan_bel,aday,oran,oy_2019,oran_2019,ilce
şehir,ADANA BÜYÜKŞEHİR BELEDİYESİ,1.629.953,1.238.086,1.182.043,,,,,,,,
belediye başkanlığı alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,550.531,,1.0,CHP,9,,,,,
belediye başkanlığı alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,6.975,,2.0,MHP,4,,,,,
belediye başkanlığı alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,22.090,,3.0,YENIDEN REFAH,1,,,,,
belediye başkanlığı alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.071,,4.0,MAHMUT DAL,1,,,,,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,550.531,,1.0,CHP,,ZEYDAN KARALAR,%46.57,656.704,%53.69,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,442.486,,2.0,AK PARTI,,FATİH MEHMET KOCAİSPİR,%37.43,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,66.221,,3.0,DEM PARTI,,MAHFUZ GÜLERYÜZ,%5.60,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,50.373,,4.0,İYI PARTI,,AYYÜCE TÜRKEŞ TAŞ,%4.26,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,22.090,,5.0,YENIDEN REFAH,,SELAHATTİN BAYSAL,%1.87,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,16.728,,6.0,ZAFER PARTISI,,UMUT YANAR,%1.42,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,6.944,,7.0,HÜDA PAR,,SALİH DEMİR,%0.59,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,6.675,,8.0,SAADET,,HÜSEYİN ACARLAR,%0.56,23.214,%1.90,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.489,,9.0,DEVA PARTISI,,HAMZA MİLLİ,%0.21,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.304,,10.0,MEMLEKET,,ETHEM EKE,%0.19,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.207,,11.0,YTP,,EYYUP KEBUDE,%0.19,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.012,,12.0,EMEP,,SEVİL ARACI,%0.17,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,1.749,,13.0,BTP,,MELEK ÇATALBAŞ,%0.15,3.161,%0.26,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,1.602,,14.0,TKP,,KUBİLAY ALTUNTAŞ,%0.14,2.529,%0.21,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,1.088,,15.0,DSP,,HAKAN BULDU,%0.09,6.298,%0.51,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,930,,16.0,VATAN PARTISI,,AHMET SUSEVEN,%0.08,5.764,%0.47,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,891,,17.0,MILLET,,ALİ GEÇİOĞLU,%0.08,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,771,,18.0,AP,,KAZIM KÜRŞAD ERDİL,%0.07,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,743,,19.0,AB PARTI,,SEZGİN DOĞAN GÜROCAK,%0.06,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,691,,20.0,HAK-PAR,,SÜLEYMAN KART,%0.06,0,%0.00,
belediye başkanlığı,ADANA BÜYÜKŞEHİR BELEDİYESİ,,633,,21.0,TKH,,SERDAR DOĞAN,%0.05,0,%0.00,
meclisi alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,478.561,,1.0,CHP,10,,,,,
meclisi alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,150.121,,2.0,MHP,4,,,,,
meclisi alınan ilçeler,ADANA BÜYÜKŞEHİR BELEDİYESİ,,37.035,,3.0,YENIDEN REFAH,1,,,,,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,478.561,,1.0,CHP,,,%41.29,493.690,%40.37,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,230.106,,2.0,AK PARTI,,,%19.85,312.119,%25.52,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,150.121,,3.0,MHP,,,%12.95,222.611,%18.20,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,78.752,,4.0,İYI PARTI,,,%6.79,58.880,%4.81,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,76.858,,5.0,DEM PARTI,,,%6.63,50.276,%4.11,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,37.035,,6.0,YENIDEN REFAH,,,%3.19,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,26.368,,7.0,ZAFER PARTISI,,,%2.27,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,23.823,,8.0,BÜYÜK BIRLIK,,,%2.06,18.441,%1.51,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,10.553,,9.0,SAADET,,,%0.91,37.358,%3.05,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,9.895,,10.0,HÜDA PAR,,,%0.85,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,5.804,,11.0,DEVA PARTISI,,,%0.50,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,4.682,,12.0,TİP,,,%0.40,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,4.191,,13.0,BTP,,,%0.36,2.608,%0.21,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.196,,14.0,MEMLEKET,,,%0.19,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.184,,15.0,TKP,,,%0.19,2.775,%0.23,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.147,,16.0,EMEP,,,%0.19,0,%0.00,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,1.990,,17.0,DP,,,%0.17,8.254,%0.67,
il meclisi,ADANA BÜYÜKŞEHİR BELEDİYESİ,,1.811,,18.0,DSP,,,%0.16,8.308,%0.68,
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,158.116,,1.0,CHP,,OYA TEKİN,%41.51,,,SEYHAN
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,40.758,,2.0,CHP,,KADİR AYDAR,%45.67,,,CEYHAN
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,4.257,,3.0,YENIDEN REFAH,,CÖMERT ÖZEN,%36.26,,,FEKE
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,6.975,,4.0,MHP,,BEKİR ŞİMŞEK,%44.76,,,KARAİSALI
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,7.663,,5.0,CHP,,ALİ BEDRETTİN KARATAŞ,%50.34,,,KARATAŞ
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,21.767,,6.0,MHP,,MUSTAFA ATLI,%28.06,,,KOZAN
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,5.080,,7.0,MHP,,ALİ AVAN,%38.41,,,POZANTI
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,2.071,,8.0,MAHMUT DAL,,MAHMUT DAL,%23.72,,,SAİMBEYLİ
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,5.596,,9.0,CHP,,AHMET AKTÜRK,%50.38,,,TUFANBEYLİ
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,5.119,,10.0,CHP,,ERDİNÇ ALTIOK,%40.92,,,YUMURTALIK
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,75.737,,11.0,CHP,,ALİ DEMİRÇALI,%40.71,,,YÜREĞİR
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,5.720,,12.0,CHP,,KEMAL ÖZDEMİR,%48.51,,,ALADAĞ
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,8.184,,13.0,CHP,,KASIM KARAKÖSE,%47.97,,,İMAMOĞLU
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,44.357,,14.0,MHP,,BİLAL ULUDAĞ,%40.48,,,SARIÇAM
ilce,ADANA BÜYÜKŞEHİR BELEDİYESİ,,109.432,,15.0,CHP,,EMRAH KOZAY,%52.85,,,ÇUKUROVA
şehir,ADIYAMAN BELEDİYESİ,155.341,108.284,103.124,,,,,,,,
belediye başkanlığı alınan ilçeler,ADIYAMAN BELEDİYESİ,,28.285,,1.0,AK PARTI,6,,,,,
belediye başkanlığı alınan ilçeler,ADIYAMAN BELEDİYESİ,,51.299,,2.0,CHP,2,,,,,
belediye başkanlığı alınan ilçeler,ADIYAMAN BELEDİYESİ,,360,,3.0,DEVA PARTISI,1,,,,,
belediye başkanlığı,ADIYAMAN BELEDİYESİ,,51.299,,1.0,CHP,,ABDURRAHMAN TUTDERE,%49.74,0,%0.00,
belediye başkanlığı,ADIYAMAN BELEDİYESİ,,28.285,,2.0,AK PARTI,,ZİYA POLAT,%27.43,65.805,%53.22,
belediye başkanlığı,ADIYAMAN BELEDİYESİ,,14.173,,3.0,YENIDEN REFAH,,NAZİF ATALAY,%13.74,0,%0.00,
belediye başkanlığı,ADIYAMAN BELEDİYESİ,,2.742,,4.0,DEM PARTI,,MEHMET BAHATTİN BİLGİN,%2.66,0,%0.00,
belediye başkanlığı,ADIYAMAN BELEDİYESİ,,1.510,,5.0,SAADET,,HAŞİM ASNUK,%1.46,34.766,%28.12,
belediye başkanlığı,ADIYAMAN BELEDİYESİ,,1.292,,6.0,HÜDA PAR,,MUSTAFA YETİŞ,%1.25,0,%0.00,
meclisi alınan ilçeler,ADIYAMAN BELEDİYESİ,,103.371,,1.0,AK PARTI,7,,,,,
meclisi alınan ilçeler,ADIYAMAN BELEDİYESİ,,77.362,,2.0,CHP,2,,,,,
il meclisi,ADIYAMAN BELEDİYESİ,,103.371,,1.0,AK PARTI,,,%35.01,168.224,%51.56,
il meclisi,ADIYAMAN BELEDİYESİ,,77.362,,2.0,CHP,,,%26.20,44.397,%13.61,
il meclisi,ADIYAMAN BELEDİYESİ,,38.946,,3.0,YENIDEN REFAH,,,%13.19,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,17.618,,4.0,DEM PARTI,,,%5.97,18.263,%5.60,
il meclisi,ADIYAMAN BELEDİYESİ,,14.474,,5.0,MHP,,,%4.90,26.334,%8.07,
il meclisi,ADIYAMAN BELEDİYESİ,,13.290,,6.0,HÜDA PAR,,,%4.50,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,11.814,,7.0,SAADET,,,%4.00,45.895,%14.07,
il meclisi,ADIYAMAN BELEDİYESİ,,4.465,,8.0,İYI PARTI,,,%1.51,17.292,%5.30,
il meclisi,ADIYAMAN BELEDİYESİ,,4.314,,9.0,BÜYÜK BIRLIK,,,%1.46,1.762,%0.54,
il meclisi,ADIYAMAN BELEDİYESİ,,3.019,,10.0,DEVA PARTISI,,,%1.02,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,1.315,,11.0,GELECEK PARTISI,,,%0.45,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,1.102,,12.0,BTP,,,%0.37,783,%0.24,
il meclisi,ADIYAMAN BELEDİYESİ,,900,,13.0,TİP,,,%0.30,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,870,,14.0,MILLET,,,%0.29,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,483,,15.0,SOL PARTI,,,%0.16,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,440,,16.0,MEMLEKET,,,%0.15,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,410,,17.0,ZAFER PARTISI,,,%0.14,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,390,,18.0,VATAN PARTISI,,,%0.13,327,%0.10,
il meclisi,ADIYAMAN BELEDİYESİ,,277,,19.0,TKP,,,%0.09,0,%0.00,
il meclisi,ADIYAMAN BELEDİYESİ,,196,,20.0,AB PARTI,,,%0.07,0,%0.00,
ilce,ADIYAMAN BELEDİYESİ,,51.299,,1.0,CHP,,ABDURRAHMAN TUTDERE,%49.74,,,MERKEZ
ilce,ADIYAMAN BELEDİYESİ,,6.944,,2.0,AK PARTI,,REŞİT ALKAN,%38.83,,,BESNİ
ilce,ADIYAMAN BELEDİYESİ,,1.610,,3.0,DEVA PARTISI,,MAHMUT ŞAHİN,%33.65,,,ÇELİKHAN
ilce,ADIYAMAN BELEDİYESİ,,950,,4.0,AK PARTI,,ERKAN AKSOY,%55.17,,,GERGER
ilce,ADIYAMAN BELEDİYESİ,,6.949,,5.0,CHP,,İSKENDER YILDIRIM,%40.32,,,GÖLBAŞI
ilce,ADIYAMAN BELEDİYESİ,,14.617,,6.0,AK PARTI,,MEMET CAN HALLAÇ,%35.73,,,KAHTA
ilce,ADIYAMAN BELEDİYESİ,,1.450,,7.0,AK PARTI,,HALİL FIRAT,%70.84,,,SAMSAT
ilce,ADIYAMAN BELEDİYESİ,,1.880,,8.0,AK PARTI,,MEHMET KORKUT,%57.33,,,SİNCİK
ilce,ADIYAMAN BELEDİYESİ,,1.131,,9.0,AK PARTI,,ERCAN ÖNCEBE,%50.29,,,TUT
şehir,AFYONKARAHISAR BELEDİYESİ,169.033,138.807,134.184,,,,,,,,
belediye başkanlığı alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,42.703,,1.0,AK PARTI,9,,,,,
belediye başkanlığı alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,68.072,,2.0,CHP,4,,,,,
belediye başkanlığı alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,14.590,,3.0,MHP,4,,,,,
belediye başkanlığı alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,2.090,,4.0,İYI PARTI,1,,,,,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,68.072,,1.0,CHP,,BURCU KÖKSAL,%50.73,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,42.703,,2.0,AK PARTI,,HÜSEYİN CEYLAN ULUÇAY,%31.82,54.712,%42.96,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,14.590,,3.0,MHP,,SEZER KÜÇÜKKURT,%10.87,20.725,%16.27,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,2.844,,4.0,YENIDEN REFAH,,ŞÜKRÜ SARIDERE,%2.12,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,2.090,,5.0,İYI PARTI,,ALPER YAĞCI,%1.56,50.562,%39.70,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,1.121,,6.0,SAADET,,BEYTULLAH KARATAŞ,%0.84,741,%0.58,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,892,,7.0,ZAFER PARTISI,,BURKAHAN İNGEÇ,%0.66,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,407,,8.0,BÜYÜK BIRLIK,,TAMER KAYIŞOĞLU,%0.30,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,284,,9.0,MILLET,,ÖMER SARIGÜL,%0.21,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,201,,10.0,DEM PARTI,,ZEHRA YALÇIN,%0.15,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,176,,11.0,BTP,,YUSUF ÖZÇAM,%0.13,67,%0.05,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,174,,12.0,DP,,HİKMET BÜLBÜL,%0.13,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,161,,13.0,DEVA PARTISI,,TARIK TUNÇ,%0.12,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,116,,14.0,HÜDA PAR,,ÖMER TARIM,%0.09,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,112,,15.0,YTP,,SALİM TULUK,%0.08,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,56,,16.0,DSP,,AHMET OLCAY AKINCI,%0.04,315,%0.25,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,48,,17.0,HKP,,BÜŞRA NUR ARSLANTÜRK,%0.04,0,%0.00,
belediye başkanlığı,AFYONKARAHISAR BELEDİYESİ,,45,,18.0,AB PARTI,,MEHMET AKYOL,%0.03,0,%0.00,
meclisi alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,154.124,,1.0,AK PARTI,8,,,,,
meclisi alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,97.936,,2.0,MHP,5,,,,,
meclisi alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,111.273,,3.0,CHP,4,,,,,
meclisi alınan ilçeler,AFYONKARAHISAR BELEDİYESİ,,29.554,,4.0,İYI PARTI,1,,,,,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,154.124,,1.0,AK PARTI,,,%34.99,198.033,%44.75,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,111.273,,2.0,CHP,,,%25.26,52.966,%11.97,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,97.936,,3.0,MHP,,,%22.23,96.001,%21.69,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,29.554,,4.0,İYI PARTI,,,%6.71,69.269,%15.65,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,23.404,,5.0,YENIDEN REFAH,,,%5.31,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,4.852,,6.0,DP,,,%1.10,7.788,%1.76,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,4.804,,7.0,BÜYÜK BIRLIK,,,%1.09,13.176,%2.98,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,4.706,,8.0,ZAFER PARTISI,,,%1.07,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,4.236,,9.0,SAADET,,,%0.96,4.320,%0.98,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,1.417,,10.0,MILLET,,,%0.32,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,1.095,,11.0,BTP,,,%0.25,396,%0.09,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,876,,12.0,TİP,,,%0.20,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,468,,13.0,DEVA PARTISI,,,%0.11,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,455,,14.0,DEM PARTI,,,%0.10,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,394,,15.0,HÜDA PAR,,,%0.09,0,%0.00,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,344,,16.0,VATAN PARTISI,,,%0.08,610,%0.14,
il meclisi,AFYONKARAHISAR BELEDİYESİ,,332,,17.0,SOL PARTI,,,%0.08,0,%0.00,
ilce,AFYONKARAHISAR BELEDİYESİ,,68.072,,1.0,CHP,,BURCU KÖKSAL,%50.73,,,MERKEZ
ilce,AFYONKARAHISAR BELEDİYESİ,,7.525,,2.0,MHP,,DERVİŞ AYNACI,%41.45,,,BOLVADİN
ilce,AFYONKARAHISAR BELEDİYESİ,,2.634,,3.0,İYI PARTI,,YAŞAR KEMAL KANTARTOPU,%29.53,,,ÇAY
ilce,AFYONKARAHISAR BELEDİYESİ,,1.707,,4.0,AK PARTI,,FATİH ÇİÇEK,%43.05,,,DAZKIRI
ilce,AFYONKARAHISAR BELEDİYESİ,,7.727,,5.0,CHP,,VEYSEL TOPÇU,%48.48,,,DİNAR
ilce,AFYONKARAHISAR BELEDİYESİ,,4.741,,6.0,AK PARTI,,SERKAN KOYUNCU,%41.87,,,EMİRDAĞ
ilce,AFYONKARAHISAR BELEDİYESİ,,970,,7.0,AK PARTI,,EMİNE GÖKÇE,%35.71,,,İHSANİYE
ilce,AFYONKARAHISAR BELEDİYESİ,,7.371,,8.0,AK PARTI,,ADNAN ÖZTAŞ,%38.04,,,SANDIKLI
ilce,AFYONKARAHISAR BELEDİYESİ,,1.203,,9.0,MHP,,TOLGA YILDIRIM,%47.99,,,SİNANPAŞA
ilce,AFYONKARAHISAR BELEDİYESİ,,1.284,,10.0,AK PARTI,,MEHMET ALDIRMAZ,%38.10,,,SULTANDAĞI
ilce,AFYONKARAHISAR BELEDİYESİ,,4.464,,11.0,MHP,,MUHİTTİN ÖZAŞKIN,%51.08,,,ŞUHUT
ilce,AFYONKARAHISAR BELEDİYESİ,,1.399,,12.0,CHP,,SELÇUK GÖNÜLLÜ,%41.27,,,BAŞMAKÇI
ilce,AFYONKARAHISAR BELEDİYESİ,,1.166,,13.0,AK PARTI,,HALİLİBRAHİM BODUR,%43.14,,,BAYAT
ilce,AFYONKARAHISAR BELEDİYESİ,,2.812,,14.0,AK PARTI,,SEYHAN KILINÇARSLAN,%34.18,,,İSCEHİSAR
ilce,AFYONKARAHISAR BELEDİYESİ,,3.126,,15.0,AK PARTI,,ALİ ALTUNTAŞ,%56.03,,,ÇOBANLAR
ilce,AFYONKARAHISAR BELEDİYESİ,,1.136,,16.0,CHP,,BERRİN UĞURLU,%50.09,,,EVCİLER
ilce,AFYONKARAHISAR BELEDİYESİ,,754,,17.0,AK PARTI,,ALİ ARSLAN,%49.31,,,HOCALAR
ilce,AFYONKARAHISAR BELEDİYESİ,,383,,18.0,MHP,,ALİ EROL,%40.53,,,KIZILÖREN
şehir,AĞRI BELEDİYESİ,77.437,53.257,49.687,,,,,,,,
belediye başkanlığı alınan ilçeler,AĞRI BELEDİYESİ,,25.374,,1.0,DEM PARTI,4,,,,,
